method,sufficiency,necessity,fidelity_plus,fidelity_minus,sparsity,path_connected_strict_pct,avg_hop_dist_strict,path_connected_lenient_pct,avg_hop_dist_lenient,num_evaluated
attention,0.7915999872982502,-0.0007541448132863055,-0.0007541448132863055,0.08885970102862921,0.9993711564959505,3.0,2.0,3.0,2.0,100
gnnexplainer,0.7921999873220921,-3.044790063916336e-07,-3.044790063916336e-07,0.09123469317920971,0.9999572599869855,0.0,-1.0,0.0,-1.0,100
pgexplainer,0.7849999867007136,0.04431532897872316,0.04431532897872316,0.1085744222265901,0.9989955927844211,2.0,2.0,2.0,2.0,100
kec,0.66525251471033,0.028235874910170985,0.028235874910170985,0.20191973921075002,0.9984086521964084,2.0202020202020203,2.5,46.464646464646464,3.8043478260869565,99
