mode,val_auroc,test_auroc,test_auprc,test_f1,test_precision,test_recall
no_gnn,0.8496304369652095,0.8507562965900662,0.8940642062835432,0.7731398001182959,0.8399501346351614,0.7173161367477192
no_ppi,0.8540411240424788,0.8542956263544735,0.8963361156474403,0.7842998152292104,0.8223551002086907,0.7515117887548041
full,0.8533939081261724,0.8538156147440593,0.8958479716053049,0.7780948430669824,0.8354874590470984,0.7299711157519885
