pair_idx,method,sufficiency,fidelity_plus,fidelity_minus,sparsity,conn_strict,conn_lenient
0,attention,0.9799999594688416,-5.960464477539062e-07,0.13447396457195282,0.9989573558544469,0.0,0.0
1,attention,1.0,0.00014079720131121576,-0.006354006472975016,0.9998755832037325,0.0,0.0
2,attention,0.9599999785423279,2.0869969375780784e-05,0.28564807772636414,0.9999601548269581,0.0,0.0
3,attention,0.9599999785423279,-0.0003468227223493159,0.16311080753803253,0.9997787023103479,0.0,0.0
4,attention,0.7799999713897705,0.0015412888024002314,0.17645412683486938,0.9997813156053184,0.0,0.0
5,attention,0.3799999952316284,-0.0010178721277043223,-0.25847214460372925,0.9872611464968153,0.0,0.0
6,attention,0.0,-0.000604642613325268,0.7643481492996216,0.9998949745313238,0.0,0.0
7,attention,0.7599999904632568,0.035241518169641495,0.021498145535588264,0.9998048399687745,1.0,0.0
8,attention,0.9799999594688416,-2.831220591303918e-09,-0.05381150171160698,1.0,0.0,0.0
9,attention,1.0,-1.4901160305669237e-09,0.0009773942874744534,0.9980552314274601,0.0,0.0
10,attention,0.6399999856948853,6.556510889765832e-09,0.16911058127880096,1.0,0.0,0.0
11,attention,0.3999999761581421,-5.2154955483274534e-05,0.35951194167137146,0.9995854578617916,0.0,0.0
12,attention,0.8399999737739563,-4.943966632708907e-05,0.28129491209983826,0.9996774297603304,0.0,0.0
13,attention,0.6800000071525574,-0.0012168282410129905,-0.27551478147506714,0.9995234691446271,0.0,0.0
14,attention,0.7799999713897705,0.028018221259117126,0.2275828868150711,0.9991447874796887,0.0,0.0
15,attention,0.9399999976158142,-0.00042368052527308464,-0.019479995593428612,0.9994824016563147,0.0,0.0
16,attention,0.9799999594688416,2.5781988369999453e-05,0.15688858926296234,0.9998900095691675,0.0,0.0
17,attention,0.7799999713897705,-1.19209286886246e-09,-0.1598433554172516,1.0,0.0,0.0
18,attention,1.0,-0.00024475649115629494,-0.014186043292284012,0.9992203336971776,0.0,0.0
19,attention,0.3400000035762787,-8.255243244548183e-08,-0.2809005379676819,1.0,0.0,0.0
20,attention,0.6200000047683716,-0.000523228314705193,0.40627551078796387,0.9968173138128581,0.0,0.0
21,attention,1.0,-0.0001650130725465715,-0.11282481998205185,0.9998949524659909,0.0,0.0
22,attention,0.05999999865889549,-0.0001812541449908167,0.5259658098220825,0.9995549225565248,0.0,0.0
23,attention,1.0,-1.0967254127081105e-07,0.09362759441137314,0.9987979324438033,0.0,0.0
24,attention,0.1599999964237213,0.000518890330567956,-0.46057313680648804,0.999258765102661,0.0,0.0
25,attention,0.9399999976158142,-6.67572024326546e-08,-0.17689047753810883,1.0,0.0,0.0
26,attention,0.9599999785423279,5.643814748879095e-09,0.054921217262744904,0.9998116760828625,0.0,0.0
27,attention,0.699999988079071,9.916842100210488e-05,-0.22416870296001434,0.9996395097332372,0.0,0.0
28,attention,1.0,-2.291679265908897e-05,-0.003551649861037731,0.9988324576765908,0.0,0.0
29,attention,0.9399999976158142,-7.560163794551045e-05,0.05454830452799797,0.9997221218773445,0.0,0.0
30,attention,0.23999999463558197,-0.000476664281450212,0.36600542068481445,0.9998416619165241,0.0,0.0
31,attention,0.03999999910593033,-0.00492437370121479,0.41599464416503906,0.9998864681372828,0.0,0.0
32,attention,1.0,0.0023529580794274807,0.0560523197054863,0.9994629142274021,0.0,0.0
33,attention,0.7999999523162842,0.07570326328277588,0.11689174175262451,0.9989815663509523,1.0,0.0
34,attention,0.9199999570846558,-1.4551132153428625e-05,0.08736257255077362,0.999795077767987,0.0,0.0
35,attention,0.8199999928474426,0.00010445117368362844,0.20570635795593262,0.9999066127510949,0.0,0.0
36,attention,1.0,-0.00922576803714037,0.08138822019100189,0.9998971034624685,0.0,0.0
37,attention,0.019999999552965164,-2.5331972963726912e-08,-0.4277690649032593,1.0,0.0,0.0
38,attention,0.9799999594688416,0.0012658911291509867,0.0046280864626169205,0.9998440107944531,0.0,0.0
39,attention,0.6800000071525574,0.0053561688400805,-0.004447743762284517,0.9998333083295827,0.0,0.0
40,attention,1.0,0.000277657964034006,-0.0018238899065181613,0.9992947316453911,0.0,0.0
41,attention,0.9399999976158142,-0.00699184276163578,-0.019813263788819313,0.9994877311613135,0.0,0.0
42,attention,1.0,5.886599319637753e-05,-0.05467524006962776,0.9996742777108237,0.0,0.0
43,attention,0.9199999570846558,-0.00016581475210841745,0.1567106544971466,0.9999012540732695,0.0,0.0
44,attention,0.6399999856948853,0.014795467257499695,-0.21826285123825073,0.9995939910678034,0.0,0.0
45,attention,1.0,0.034191470593214035,0.002990785287693143,0.9991341241665945,1.0,0.0
46,attention,0.9799999594688416,0.00348124117590487,0.2787463366985321,0.9997925569431191,0.0,0.0
47,attention,1.0,-9.964108176063746e-05,-0.01567929983139038,0.9997402192549488,0.0,0.0
48,attention,1.0,1.2075901167918346e-06,0.018129847943782806,0.999827136164843,0.0,0.0
49,attention,0.7400000095367432,-2.38418573772492e-09,0.21854107081890106,1.0,0.0,0.0
50,attention,0.4599999785423279,-1.5929341316223145e-05,0.40657347440719604,0.9997951281473438,0.0,0.0
51,attention,0.5600000023841858,0.004998951219022274,-0.17007920145988464,0.9999024390243902,1.0,0.0
52,attention,1.0,0.00016689895710442215,0.27703288197517395,0.9997367035281727,0.0,0.0
53,attention,0.7999999523162842,-1.4603137366009378e-08,0.10613732784986496,1.0,0.0,0.0
54,attention,0.7199999690055847,0.0016104220412671566,0.08289763331413269,0.9990951863916033,0.0,0.0
55,attention,0.9199999570846558,-1.4901161193847656e-08,0.10743153095245361,1.0,0.0,0.0
56,attention,0.4599999785423279,-0.0003648638667073101,-0.281528502702713,0.9989301380121964,0.0,0.0
57,attention,0.9199999570846558,-0.028577536344528198,0.12344194203615189,0.9997574228604696,0.0,0.0
58,attention,1.0,1.5795230012827233e-08,0.12321984767913818,1.0,0.0,0.0
59,attention,0.9799999594688416,0.00032638845732435584,-0.019448820501565933,0.9985285462036492,0.0,0.0
60,attention,0.03999999910593033,4.76837147544984e-09,0.41776251792907715,0.9999124343257443,0.0,0.0
61,attention,0.4399999976158142,0.18278023600578308,-0.42701271176338196,0.9996277269004542,1.0,0.0
62,attention,0.9399999976158142,0.003387550124898553,-0.03236566483974457,0.9993872173540045,0.0,0.0
63,attention,0.5399999618530273,0.0923050194978714,0.28357306122779846,0.9996014189485432,1.0,0.0
64,attention,1.0,5.960464122267695e-09,0.11414393782615662,0.9973432518597237,0.0,0.0
65,attention,1.0,-1.2218952072373668e-08,0.07892511039972305,1.0,0.0,0.0
66,attention,1.0,-0.00020330905681475997,0.013987882062792778,0.9994444753069274,0.0,0.0
67,attention,0.85999995470047,0.07625263184309006,0.08163835108280182,0.9995341470231994,1.0,0.0
68,attention,0.9599999785423279,2.9206274732018755e-08,0.11486323922872543,1.0,0.0,0.0
69,attention,1.0,-6.567880336660892e-05,0.1703261137008667,0.9985287626894218,0.0,0.0
70,attention,0.85999995470047,-0.00013622685219161212,0.026478642597794533,0.9996351962644098,0.0,0.0
71,attention,0.1599999964237213,9.53674295089968e-09,0.23260249197483063,1.0,0.0,0.0
72,attention,0.6800000071525574,-5.960464477539063e-08,-0.0764196589589119,1.0,0.0,0.0
73,attention,0.23999999463558197,-0.0008278584573417902,-0.24261291325092316,0.9994677736973762,0.0,0.0
74,attention,1.0,1.0728835597717534e-08,-0.00794944167137146,1.0,0.0,0.0
75,attention,0.019999999552965164,2.6655195597413694e-06,0.7478771805763245,0.9998482871620596,0.0,0.0
76,attention,1.0,-9.823680011322722e-05,-0.022183408960700035,0.999293635657272,0.0,0.0
77,attention,0.9799999594688416,-0.00010182380356127396,0.11665032804012299,0.9990874247125388,0.0,0.0
78,attention,1.0,-9.53674295089968e-09,0.14034290611743927,1.0,0.0,0.0
79,attention,1.0,-8.527636236976832e-05,-0.05116575211286545,0.9993804213135068,0.0,0.0
80,attention,0.9799999594688416,-3.889679646817967e-05,0.19616763293743134,0.9999043080515205,0.0,0.0
81,attention,0.9799999594688416,-1.3336985830392223e-05,0.0367349311709404,0.9997723754893927,0.0,0.0
82,attention,0.29999998211860657,0.0003771650663111359,0.4274451434612274,0.9998820045074278,0.0,0.0
83,attention,0.8799999952316284,-3.5762786065873797e-09,-0.023594679310917854,1.0,0.0,0.0
84,attention,0.5399999618530273,-0.00015182196511887014,0.25017204880714417,0.9997128994286698,0.0,0.0
85,attention,1.0,9.760260155644573e-09,0.08860094845294952,0.9999097045080024,0.0,0.0
86,attention,0.5199999809265137,-0.0005786441033706069,0.18822485208511353,0.99963016383742,0.0,0.0
87,attention,0.9799999594688416,0.00025938963517546654,-0.08539751172065735,0.9997643510227165,0.0,0.0
88,attention,0.9199999570846558,0.00038982450496405363,0.11036147177219391,0.9989326502294802,0.0,0.0
89,attention,1.0,0.06811504811048508,-0.03821825236082077,0.9995165345194353,1.0,0.0
90,attention,0.6399999856948853,-0.1396949142217636,-0.06591754406690598,0.9995468346399601,1.0,0.0
91,attention,0.17999999225139618,0.0026267641223967075,0.2572613060474396,0.9995088167395255,0.0,0.0
92,attention,1.0,1.4522075616696384e-05,0.0994671955704689,0.999643201198844,0.0,0.0
93,attention,0.5999999642372131,0.00015207051183097064,0.2195775806903839,0.9998958257372933,0.0,0.0
94,attention,0.05999999865889549,0.00028599947108887136,0.6474955677986145,0.9998932980505554,0.0,0.0
95,attention,0.09999999403953552,-0.0004492920415941626,0.3150371015071869,0.9981741829468688,0.0,0.0
96,attention,0.29999998211860657,-0.00017760097398422658,0.3285108208656311,0.9998123334459332,0.0,0.0
97,attention,0.5799999833106995,-0.000375228381017223,0.16774173080921173,0.9994573180658816,0.0,0.0
98,attention,0.9199999570846558,1.9967554720778935e-08,0.06023518741130829,1.0,0.0,0.0
99,attention,0.9199999570846558,-3.324747012811713e-06,0.26262611150741577,0.9997206235681958,0.0,0.0
0,gnnexplainer,0.9799999594688416,0.0,0.13447396457195282,0.9998957355854446,0.0,0.0
1,gnnexplainer,1.0,-7.1525572131747595e-09,-0.006354006472975016,0.9999564541213064,0.0,0.0
2,gnnexplainer,0.9599999785423279,4.172325152040912e-09,0.28564807772636414,0.9999601548269581,0.0,0.0
3,gnnexplainer,0.9599999785423279,-1.7881392366803084e-08,0.16311080753803253,0.9999668053465521,0.0,0.0
4,gnnexplainer,0.7799999713897705,-1.862645149230957e-08,0.17645412683486938,0.9999781315605318,0.0,0.0
5,gnnexplainer,0.3799999952316284,1.4901161193847656e-08,-0.25847214460372925,1.0,0.0,0.0
6,gnnexplainer,0.0,-1.7881392366803084e-08,0.7643481492996216,0.9999579898125296,0.0,0.0
7,gnnexplainer,0.6800000071525574,5.364417798858767e-09,0.09023746103048325,0.9999804839968774,0.0,0.0
8,gnnexplainer,0.9799999594688416,-9.089708541409891e-09,-0.05381150171160698,0.9999774123599566,0.0,0.0
9,gnnexplainer,1.0,1.512467839859255e-08,0.0009773942874744534,1.0,0.0,0.0
10,gnnexplainer,0.6399999856948853,-5.960464122267695e-09,0.16911058127880096,0.9999478557109585,0.0,0.0
11,gnnexplainer,0.3999999761581421,-5.543232006743892e-08,0.35951194167137146,0.9999170915723583,0.0,0.0
12,gnnexplainer,0.8399999737739563,2.5033950024067053e-08,0.28129491209983826,0.9999838714880165,0.0,0.0
13,gnnexplainer,0.6800000071525574,-5.63263888864185e-08,-0.27551478147506714,0.9999523469144627,0.0,0.0
14,gnnexplainer,0.699999988079071,-5.364417798858767e-09,0.2711668014526367,1.0,0.0,0.0
15,gnnexplainer,0.9399999976158142,6.705522537231445e-08,-0.019479995593428612,0.9999741200828157,0.0,0.0
16,gnnexplainer,0.9799999594688416,-5.662441182607836e-09,0.15688858926296234,0.9999780019138335,0.0,0.0
17,gnnexplainer,0.7799999713897705,4.4703482582342247e-10,-0.1598433554172516,1.0,0.0,0.0
18,gnnexplainer,1.0,9.23872001123982e-09,-0.014186043292284012,0.9999610166848589,0.0,0.0
19,gnnexplainer,0.3400000035762787,-1.078844036328519e-07,-0.2809005379676819,0.9999867226087419,0.0,0.0
20,gnnexplainer,0.6200000047683716,-2.6226043559063328e-08,0.40627551078796387,1.0,0.0,0.0
21,gnnexplainer,1.0,1.3709067658851382e-08,-0.11282481998205185,0.9999632333630968,0.0,0.0
22,gnnexplainer,0.05999999865889549,6.556510889765832e-09,0.5259658098220825,0.9998887306391312,0.0,0.0
23,gnnexplainer,1.0,0.0,0.09362759441137314,1.0,0.0,0.0
24,gnnexplainer,0.1599999964237213,5.960464477539063e-08,-0.46057313680648804,0.9999258765102661,0.0,0.0
25,gnnexplainer,0.9399999976158142,-5.543232006743892e-08,-0.17689047753810883,0.9999809647085697,0.0,0.0
26,gnnexplainer,0.9599999785423279,-7.227062948089724e-09,0.054921217262744904,1.0,0.0,0.0
27,gnnexplainer,0.699999988079071,-2.562999590338677e-08,-0.22416870296001434,0.9999279019466475,0.0,0.0
28,gnnexplainer,1.0,-1.2328624507063068e-05,-0.003551649861037731,0.9999416228838295,0.0,0.0
29,gnnexplainer,0.9399999976158142,-4.500150652120283e-08,0.05454830452799797,0.9999583182816016,0.0,0.0
30,gnnexplainer,0.23999999463558197,3.814697180359872e-08,0.36600542068481445,0.9999366647666097,0.0,0.0
31,gnnexplainer,0.03999999910593033,-3.039836826701503e-08,0.41599464416503906,0.9999602638480489,0.0,0.0
32,gnnexplainer,1.0,-1.2218952072373668e-08,0.0560523197054863,1.0,0.0,0.0
33,gnnexplainer,0.9799999594688416,-8.195638834251895e-09,0.02420317381620407,0.9999490783175476,0.0,0.0
34,gnnexplainer,0.9199999570846558,-3.136694459726641e-08,0.08736257255077362,0.9999590155535975,0.0,0.0
35,gnnexplainer,0.8199999928474426,4.649162121950212e-08,0.20570635795593262,0.9999673144628832,0.0,0.0
36,gnnexplainer,1.0,1.162290530487553e-08,0.07636421173810959,0.999963986211864,0.0,0.0
37,gnnexplainer,0.019999999552965164,-1.7881393032936899e-09,-0.4277690649032593,1.0,0.0,0.0
38,gnnexplainer,0.9799999594688416,-4.917382945279769e-09,0.0046280864626169205,0.9999142059369491,0.0,0.0
39,gnnexplainer,0.6800000071525574,-4.947185416881439e-08,-0.004447743762284517,0.9999833308329583,0.0,0.0
40,gnnexplainer,1.0,7.599592066753758e-09,-0.0018238899065181613,0.9999647365822696,0.0,0.0
41,gnnexplainer,0.9399999976158142,-7.152556946721234e-08,-0.019813263788819313,0.9999487731161314,0.0,0.0
42,gnnexplainer,1.0,1.0430812658057675e-08,-0.05467524006962776,0.9999674277710824,0.0,0.0
43,gnnexplainer,0.9199999570846558,-1.7285346487483366e-08,0.1567106544971466,0.9999753135183174,0.0,0.0
44,gnnexplainer,0.6399999856948853,-4.76837147544984e-09,-0.21826285123825073,0.9999796995533902,0.0,0.0
45,gnnexplainer,0.9799999594688416,6.705522248573459e-10,0.07658851146697998,1.0,0.0,0.0
46,gnnexplainer,0.9799999594688416,1.639127766850379e-08,0.2787463366985321,0.9999585113886238,0.0,0.0
47,gnnexplainer,1.0,-1.192092824453539e-08,-0.01567929983139038,0.9999480438509898,0.0,0.0
48,gnnexplainer,1.0,-2.086162531611535e-08,0.018129847943782806,0.9999913568082421,0.0,0.0
49,gnnexplainer,0.7400000095367432,1.907348590179936e-08,0.21854107081890106,0.9999738739680217,0.0,0.0
50,gnnexplainer,0.4599999785423279,3.099441414633475e-08,0.40657347440719604,0.9999590256294688,0.0,0.0
51,gnnexplainer,0.25999999046325684,1.400709148668966e-08,-0.2720875144004822,0.9999463414634147,0.0,0.0
52,gnnexplainer,1.0,-9.53674295089968e-09,0.27703288197517395,0.9999868351764086,0.0,0.0
53,gnnexplainer,0.7999999523162842,-2.1755694135094927e-08,0.10613732784986496,0.9999695456206602,0.0,0.0
54,gnnexplainer,0.7199999690055847,4.142522769257084e-08,0.07754983752965927,0.9999547593195802,0.0,0.0
55,gnnexplainer,0.9199999570846558,-2.4586915614577265e-08,0.10743153095245361,0.9999639431744429,0.0,0.0
56,gnnexplainer,0.4599999785423279,1.609325295248709e-08,-0.281528502702713,1.0,0.0,0.0
57,gnnexplainer,0.9599999785423279,1.3262033249361593e-08,0.040991734713315964,0.9999878711430235,0.0,0.0
58,gnnexplainer,1.0,1.5795230012827233e-08,0.12321984767913818,1.0,0.0,0.0
59,gnnexplainer,0.9799999594688416,-1.654028913833372e-08,-0.019448820501565933,1.0,0.0,0.0
60,gnnexplainer,0.03999999910593033,5.960464122267695e-09,0.41776251792907715,0.999989054290718,0.0,0.0
61,gnnexplainer,0.8399999737739563,5.535781255616712e-08,0.026775598526000977,0.9999441590350682,0.0,0.0
62,gnnexplainer,0.9399999976158142,1.3113021779531664e-08,-0.03236566483974457,0.9999693608677003,0.0,0.0
63,gnnexplainer,0.17999999225139618,-1.2069940602543738e-08,0.62449049949646,0.9999402128422815,0.0,0.0
64,gnnexplainer,1.0,4.470348091700771e-09,0.11414393782615662,1.0,0.0,0.0
65,gnnexplainer,1.0,-1.2218952072373668e-08,0.07892511039972305,0.9998689384010485,0.0,0.0
66,gnnexplainer,1.0,-8.344650304081824e-09,0.013987882062792778,0.9999722237653463,0.0,0.0
67,gnnexplainer,0.3199999928474426,5.63263888864185e-08,0.3222518861293793,0.9999534147023199,0.0,0.0
68,gnnexplainer,0.9599999785423279,1.9669531781119076e-08,0.11486323922872543,0.9999418469411491,0.0,0.0
69,gnnexplainer,1.0,-1.9371508841459217e-08,0.1703261137008667,0.9998528762689421,0.0,0.0
70,gnnexplainer,0.85999995470047,8.326023426263873e-09,0.026478642597794533,0.9999452794396615,0.0,0.0
71,gnnexplainer,0.1599999964237213,-4.76837147544984e-09,0.23260249197483063,0.999962470914959,0.0,0.0
72,gnnexplainer,0.6800000071525574,-5.543232006743892e-08,-0.0764196589589119,0.9999333777481679,0.0,0.0
73,gnnexplainer,0.23999999463558197,5.364417798858767e-09,-0.24261291325092316,1.0,0.0,0.0
74,gnnexplainer,1.0,7.1525572131747595e-09,-0.00794944167137146,0.9999478242721486,0.0,0.0
75,gnnexplainer,0.019999999552965164,-2.38418573772492e-09,0.7478771805763245,0.9999620717905149,0.0,0.0
76,gnnexplainer,1.0,1.177191677470546e-08,-0.022183408960700035,0.9999646817828636,0.0,0.0
77,gnnexplainer,0.9799999594688416,2.38418573772492e-09,0.11665032804012299,0.9999543712356269,0.0,0.0
78,gnnexplainer,1.0,-1.907348590179936e-08,0.14034290611743927,0.9999826171603393,0.0,0.0
79,gnnexplainer,1.0,2.38418573772492e-09,-0.05116575211286545,1.0,0.0,0.0
80,gnnexplainer,0.9799999594688416,2.2947787670091202e-08,0.19616763293743134,0.9999712924154561,0.0,0.0
81,gnnexplainer,0.9799999594688416,3.278255444882916e-09,0.0367349311709404,0.9999886187744697,0.0,0.0
82,gnnexplainer,0.29999998211860657,-3.33786012163273e-08,0.4274451434612274,0.9999469020283425,0.0,0.0
83,gnnexplainer,0.8799999952316284,-6.258487506016763e-09,-0.023594679310917854,0.9999431204140834,0.0,0.0
84,gnnexplainer,0.5399999618530273,-0.0019433175912126899,0.25017204880714417,0.999971289942867,0.0,0.0
85,gnnexplainer,1.0,9.313225746154785e-09,0.08860094845294952,0.9999661391905009,0.0,0.0
86,gnnexplainer,0.5199999809265137,-1.668930060816365e-08,0.18822485208511353,0.999926032767484,0.0,0.0
87,gnnexplainer,0.9799999594688416,8.940696516468449e-10,-0.08539751172065735,0.9999882175511359,0.0,0.0
88,gnnexplainer,0.9199999570846558,2.0265579436795633e-08,0.11036147177219391,1.0,0.0,0.0
89,gnnexplainer,1.0,-2.0116566190608864e-09,0.05004673823714256,0.9999274801779153,0.0,0.0
90,gnnexplainer,0.7400000095367432,9.536742595628311e-08,0.052786946296691895,0.999932025195994,0.0,0.0
91,gnnexplainer,0.17999999225139618,1.192092824453539e-08,0.2572613060474396,1.0,0.0,0.0
92,gnnexplainer,1.0,-4.76837147544984e-09,0.0994671955704689,0.9999643201198843,0.0,0.0
93,gnnexplainer,0.5999999642372131,4.76837147544984e-09,0.2195775806903839,0.999968747721188,0.0,0.0
94,gnnexplainer,0.05999999865889549,1.1354684659181657e-07,0.6474955677986145,0.9999573192202221,0.0,0.0
95,gnnexplainer,0.09999999403953552,1.19209286886246e-09,0.3150371015071869,1.0,0.0,0.0
96,gnnexplainer,0.29999998211860657,3.576278473360617e-08,0.3285108208656311,0.99994370003378,0.0,0.0
